ticket_id,customer_id,category,priority,created_at,resolved_at,resolution_hours,satisfaction_score,agent_name,channel,description
TKT-00001,CUST-098,Account,High,2024-03-22T12:48:11Z,2024-03-24T01:48:11Z,37.0,8.0,Abigail Shaffer,email,Term herself law street class.
TKT-00002,CUST-214,Onboarding,Low,2024-03-13T12:13:18Z,2024-03-15T14:13:18Z,50.0,,Lisa Hensley,chat,Support request: Decide environment view possible participant commercial.
TKT-00003,CUST-242,Performance,Low,2024-03-15T01:35:55Z,2024-03-16T13:35:55Z,36.0,10.0,Monica Herrera,email,Support request: Clear here writer policy news.. Email megan03@example.org for details.
TKT-00004,CUST-414,Onboarding,Medium,2024-03-06T02:06:37Z,2024-03-08T21:06:37Z,67.0,,Gabrielle Davis,portal,Investment on gun young catch management sense technology.
TKT-00005,CUST-131,Onboarding,Low,2024-03-29T05:08:16Z,2024-03-31T09:08:16Z,52.0,10.0,Gina Moore,email,Physical society instead as.
TKT-00006,CUST-270,Security,High,2024-03-17T12:46:46Z,2024-03-19T14:46:46Z,50.0,10.0,Monica Herrera,chat,Other life edge network wall quite.
TKT-00007,CUST-319,Onboarding,Low,2024-03-10T16:24:15Z,2024-03-12T00:24:15Z,32.0,,Jamie Arnold,phone,Race Mr environment political.
TKT-00008,CUST-257,Onboarding,Low,2024-03-12T19:27:04Z,2024-03-15T06:27:04Z,59.0,6.0,Ryan Munoz,email,Fall citizen about reveal.
TKT-00009,CUST-401,Feature Request,Medium,2024-03-20T08:36:36Z,2024-03-22T07:36:36Z,47.0,8.0,Gabrielle Davis,phone,Will seven medical blood personal.
TKT-00010,CUST-393,Feature Request,Low,2024-03-21T01:00:14Z,,,,Lisa Hensley,chat,Participant check several much single morning a.
TKT-00011,CUST-237,Integration,Low,2024-03-11T15:16:57Z,2024-03-13T04:16:57Z,37.0,7.0,Gabrielle Davis,chat,Major born guy world southern dream.
TKT-00012,CUST-271,Integration,Low,2024-03-28T16:22:37Z,2024-03-31T07:22:37Z,63.0,2.0,Angie Henderson,email,There water beat magazine attorney.
TKT-00013,CUST-186,Technical,Low,2024-03-26T07:25:54Z,2024-03-27T09:25:54Z,26.0,6.0,Daniel Wagner,portal,She campaign little near enter their institution.
TKT-00014,CUST-408,Security,Medium,2024-03-04T11:51:35Z,2024-03-06T13:51:35Z,50.0,10.0,Lisa Hensley,phone,Up sense ready require human.
TKT-00015,CUST-007,Account,High,2024-03-09T22:54:16Z,2024-03-10T22:54:16Z,24.0,2.0,Abigail Shaffer,email,Just military building different full open.
TKT-00016,CUST-412,Account,Low,2024-03-13T14:11:33Z,2024-03-14T09:11:33Z,19.0,3.0,Angie Henderson,portal,Open according remain arrive attack.
TKT-00017,CUST-436,Technical,Medium,2024-03-27T06:59:53Z,,,,Michele Williams,email,Support request: Teacher audience draw.
TKT-00018,CUST-135,Onboarding,Medium,2024-03-04T00:53:33Z,2024-03-06T13:53:33Z,61.0,10.0,Allison Hill,phone,Democrat car very number line six space.
TKT-00019,CUST-492,Integration,Low,2024-03-07T02:20:13Z,2024-03-07T17:20:13Z,15.0,4.0,Noah Rhodes,phone,Behind probably great in tell.
TKT-00020,CUST-135,Onboarding,Low,2024-03-05T19:31:50Z,2024-03-07T01:31:50Z,30.0,4.0,Connie Lawrence,email,Pull worker better.
TKT-00021,CUST-202,Account,Low,2024-03-05T05:59:39Z,2024-03-06T23:59:39Z,42.0,7.0,Gabrielle Davis,email,Rock song body court movie cell.
TKT-00022,CUST-101,Billing,High,2024-03-06T21:20:21Z,2024-03-09T17:20:21Z,68.0,1.0,Daniel Wagner,email,Everything economic type kitchen.
TKT-00023,CUST-045,Integration,Medium,2024-03-03T08:17:14Z,,,,Dylan Miller,chat,Better present music address behavior send door.
TKT-00024,CUST-238,Integration,High,2024-03-23T08:05:39Z,2024-03-25T04:05:39Z,44.0,,Abigail Shaffer,email,Magazine degree husband around her world.
TKT-00025,CUST-405,Onboarding,Low,2024-03-10T23:52:12Z,,,,Angie Henderson,email,Customer escalation: Unit size expect recent room.. Reach out at smoore@example.org.
TKT-00026,CUST-356,Security,Low,2024-03-12T19:56:04Z,2024-03-14T16:56:04Z,45.0,8.0,Dylan Miller,email,Bag control organization push dog build three.
TKT-00027,CUST-107,Onboarding,Medium,2024-03-14T07:27:12Z,2024-03-16T08:27:12Z,49.0,7.0,Abigail Shaffer,email,Customer escalation: Often always bank price north.. Reach out at sarah35@example.org.
TKT-00028,CUST-309,Technical,Medium,2024-03-08T13:56:32Z,,,,Gabrielle Davis,chat,Enter value thing these hard citizen street.
TKT-00029,CUST-120,Security,Medium,2024-03-17T04:00:37Z,2024-03-19T00:00:37Z,44.0,9.0,Cristian Santos,phone,Particularly would pressure account stage.
TKT-00030,CUST-242,Billing,Low,2024-03-25T13:57:36Z,2024-03-27T10:57:36Z,45.0,7.0,Angie Henderson,phone,Use billion there enough threat.
TKT-00031,CUST-406,Account,Low,2024-03-25T07:55:46Z,2024-03-27T18:55:46Z,59.0,4.0,Michele Williams,phone,Support request: Choice example decision garden reach table measure.. Email rebecca01@example.net for details.
TKT-00032,CUST-126,Feature Request,High,2024-03-21T06:38:23Z,2024-03-22T06:38:23Z,24.0,3.0,Cristian Santos,chat,Support request: Along hard need involve among half value.. Email nolanjason@example.org for details.
TKT-00033,CUST-175,Performance,High,2024-03-13T09:39:26Z,2024-03-15T03:39:26Z,42.0,2.0,Connie Lawrence,chat,Support request: City red him although likely.
TKT-00034,CUST-451,Technical,Low,2024-03-14T17:11:50Z,2024-03-14T22:11:50Z,5.0,1.0,Michele Williams,chat,Staff least figure somebody dinner.
TKT-00035,CUST-370,Security,High,2024-03-05T20:32:44Z,2024-03-06T02:32:44Z,6.0,1.0,Gabrielle Davis,portal,Process huge everything.
TKT-00036,CUST-027,Performance,Low,2024-03-19T15:40:21Z,2024-03-20T12:40:21Z,21.0,5.0,Gina Moore,email,Whom evidence political hundred.
TKT-00037,CUST-275,Onboarding,High,2024-03-11T08:48:54Z,2024-03-14T07:48:54Z,71.0,2.0,Gina Moore,email,Customer escalation: Former agree theory end oil worker although.. Reach out at yreed@example.com.
TKT-00038,CUST-203,Feature Request,Medium,2024-03-27T17:47:19Z,2024-03-29T10:47:19Z,41.0,3.0,Monica Herrera,email,We TV perhaps professional.
TKT-00039,CUST-077,Billing,Medium,2024-03-22T22:39:36Z,2024-03-24T04:39:36Z,30.0,6.0,Allison Hill,email,Rest feel finally impact.
TKT-00040,CUST-169,Technical,Low,2024-03-11T12:32:33Z,2024-03-12T18:32:33Z,30.0,8.0,Dylan Miller,email,Customer escalation: Recent never court professor here security.. Reach out at christinaturner@example.net.
TKT-00041,CUST-060,Billing,Medium,2024-03-22T11:12:20Z,2024-03-23T14:12:20Z,27.0,,Daniel Wagner,email,Memory soldier where save probably.
TKT-00042,CUST-358,Integration,Medium,2024-03-09T23:32:32Z,2024-03-12T09:32:32Z,58.0,3.0,Gina Moore,chat,Middle plan friend stand seem.
TKT-00043,CUST-345,Technical,High,2024-03-02T11:09:00Z,2024-03-03T06:09:00Z,19.0,2.0,Noah Rhodes,phone,Support request: Different current agency each little.
TKT-00044,CUST-273,Integration,Medium,2024-03-17T00:04:14Z,,,,Noah Rhodes,phone,Lay though offer responsibility.
TKT-00045,CUST-364,Security,Medium,2024-03-20T22:27:20Z,2024-03-23T00:27:20Z,50.0,1.0,Connie Lawrence,chat,Customer escalation: Manager during prevent accept seem show.. Reach out at osbornejeffery@example.net.
TKT-00046,CUST-337,Feature Request,Low,2024-03-20T19:22:01Z,2024-03-21T15:22:01Z,20.0,,Ryan Munoz,chat,Season listen else easy.
TKT-00047,CUST-466,Account,Critical,2024-03-15T05:20:29Z,,,,Monica Herrera,email,She miss phone ever back.
TKT-00048,CUST-219,Account,Medium,2024-03-14T16:02:55Z,2024-03-15T07:02:55Z,15.0,6.0,Dylan Miller,email,Doctor from throw ball character.
TKT-00049,CUST-303,Technical,Low,2024-03-21T19:28:08Z,2024-03-22T20:28:08Z,25.0,8.0,Gina Moore,email,Really relationship ask imagine my indeed.
TKT-00050,CUST-105,Onboarding,Low,2024-03-23T10:26:10Z,2024-03-24T12:26:10Z,26.0,,Monica Herrera,chat,Strategy hope show watch affect.
TKT-00051,CUST-157,Account,Medium,2024-03-23T16:49:32Z,2024-03-25T16:49:32Z,48.0,,Abigail Shaffer,email,Support request: Herself accept goal send table well industry.
TKT-00052,CUST-288,Security,Medium,2024-03-27T10:21:55Z,2024-03-28T17:21:55Z,31.0,8.0,Jamie Arnold,phone,Son today major event magazine home protect.
TKT-00053,CUST-351,Onboarding,Medium,2024-03-28T00:21:22Z,2024-03-29T02:21:22Z,26.0,5.0,Angie Henderson,email,User reported issue with Right subject try wonder move trade.. Please contact millerroy@example.com or (804)665-3755 for follow-up.
TKT-00054,CUST-218,Technical,Medium,2024-03-01T03:26:37Z,2024-03-03T16:26:37Z,61.0,3.0,Jamie Arnold,phone,Edge bank affect much yourself glass.
TKT-00055,CUST-230,Technical,Low,2024-03-29T09:53:30Z,2024-03-29T21:53:30Z,12.0,10.0,Jamie Arnold,email,Issue description: Sit prepare senior wear.. Call (371)493-7452 if urgent.
TKT-00056,CUST-451,Onboarding,Low,2024-03-26T03:52:42Z,,,,Michele Williams,email,Support request: Blue agent find quality when.
TKT-00057,CUST-290,Integration,Low,2024-03-18T19:21:42Z,2024-03-18T20:21:42Z,1.0,10.0,Michele Williams,chat,Walk cup option store drug recent.
TKT-00058,CUST-191,Technical,High,2024-03-15T10:55:16Z,2024-03-17T02:55:16Z,40.0,2.0,Angie Henderson,portal,Sure outside building worker site.
TKT-00059,CUST-450,Onboarding,Critical,2024-03-25T04:38:04Z,2024-03-27T09:38:04Z,53.0,9.0,Noah Rhodes,email,Mouth product attention positive actually information.
TKT-00060,CUST-004,Feature Request,Low,2024-03-25T04:57:08Z,2024-03-26T02:57:08Z,22.0,9.0,Daniel Wagner,chat,Black whether player stock religious itself safe.
TKT-00061,CUST-312,Performance,Low,2024-03-07T03:45:33Z,2024-03-07T16:45:33Z,13.0,8.0,Gabrielle Davis,phone,Support request: Pattern try simple let stay.
TKT-00062,CUST-092,Technical,Low,2024-03-01T06:13:02Z,2024-03-02T21:13:02Z,39.0,6.0,Allison Hill,chat,User reported issue with Environmental system store beautiful think during let particular.. Please contact frogers@example.com or (273)554-5494 for follow-up.
TKT-00063,CUST-236,Feature Request,Medium,2024-03-22T13:21:13Z,2024-03-22T14:21:13Z,1.0,4.0,Jamie Arnold,email,Drop image new drive.
TKT-00064,CUST-142,Integration,Medium,2024-03-11T17:24:57Z,2024-03-14T03:24:57Z,58.0,10.0,Jamie Arnold,chat,Customer escalation: Position make society behavior develop reality fill.. Reach out at thomas85@example.com.
TKT-00065,CUST-045,Onboarding,Medium,2024-03-27T14:52:38Z,2024-03-30T11:52:38Z,69.0,,Gina Moore,chat,School everybody operation set others.
TKT-00066,CUST-294,Onboarding,Medium,2024-03-05T07:27:51Z,2024-03-06T04:27:51Z,21.0,9.0,Ryan Munoz,chat,Strategy fast guess few.
TKT-00067,CUST-293,Account,Low,2024-03-30T17:57:02Z,2024-04-02T01:57:02Z,56.0,6.0,Daniel Wagner,phone,Call animal approach factor want point sell.
TKT-00068,CUST-227,Account,High,2024-03-24T11:16:09Z,2024-03-24T22:16:09Z,11.0,8.0,Connie Lawrence,email,Their off light key.
TKT-00069,CUST-180,Onboarding,Medium,2024-03-28T21:05:25Z,2024-03-29T06:05:25Z,9.0,2.0,Allison Hill,portal,Whole education technology box.
TKT-00070,CUST-302,Technical,Low,2024-03-22T21:32:40Z,2024-03-24T03:32:40Z,30.0,10.0,Allison Hill,chat,Husband available picture approach.
TKT-00071,CUST-213,Security,Low,2024-03-09T02:49:49Z,2024-03-11T04:49:49Z,50.0,,Dylan Miller,portal,Specific we be easy.
TKT-00072,CUST-159,Integration,Medium,2024-03-19T07:39:50Z,2024-03-19T15:39:50Z,8.0,7.0,Connie Lawrence,chat,Share paper so difficult mission late kind.
TKT-00073,CUST-462,Performance,Medium,2024-03-23T22:19:18Z,2024-03-24T23:19:18Z,25.0,4.0,Lisa Hensley,chat,Wrong figure perform participant science way debate decision.
TKT-00074,CUST-234,Account,Critical,2024-03-11T09:25:33Z,2024-03-14T04:25:33Z,67.0,1.0,Connie Lawrence,phone,Church community avoid able.
TKT-00075,CUST-338,Performance,Medium,2024-03-26T16:42:41Z,2024-03-29T14:42:41Z,70.0,8.0,Jamie Arnold,email,Ready like allow explain executive teacher author.
TKT-00076,CUST-262,Technical,Low,2024-03-28T12:59:11Z,2024-03-29T14:59:11Z,26.0,2.0,Monica Herrera,email,Support request: Under skin person product value.
TKT-00077,CUST-181,Billing,Medium,2024-03-24T22:01:11Z,2024-03-24T23:01:11Z,1.0,,Allison Hill,phone,Boy different chance enter central arrive.
TKT-00078,CUST-136,Technical,High,2024-03-10T14:22:46Z,,,,Dylan Miller,email,Organization station TV keep light.
TKT-00079,CUST-359,Security,Medium,2024-03-05T20:54:18Z,2024-03-07T04:54:18Z,32.0,,Lisa Hensley,chat,Record wall matter management ball.
TKT-00080,CUST-130,Integration,Medium,2024-03-14T13:10:57Z,2024-03-15T19:10:57Z,30.0,6.0,Gabrielle Davis,phone,Support request: Threat same page.
TKT-00081,CUST-067,Billing,Medium,2024-03-02T07:52:44Z,2024-03-04T11:52:44Z,52.0,,Michele Williams,phone,Before while structure.
TKT-00082,CUST-401,Technical,Low,2024-03-13T19:01:09Z,2024-03-14T18:01:09Z,23.0,1.0,Monica Herrera,phone,Onto again share start office several compare.
TKT-00083,CUST-277,Feature Request,High,2024-03-19T00:28:29Z,,,,Noah Rhodes,phone,Prepare trouble consider one play man before.
