ticket_id,customer_id,category,priority,created_at,resolved_at,resolution_hours,satisfaction_score,agent_name,channel,description
TKT-00001,CUST-101,Billing,Critical,2024-01-03T18:34:29Z,2024-01-05T01:34:29Z,31.0,5.0,Jamie Arnold,phone,Support request: Term herself law street class.
TKT-00002,CUST-412,Integration,Low,2024-01-23T12:00:30Z,2024-01-24T15:00:30Z,27.0,3.0,Abigail Shaffer,chat,Support request: Decide environment view possible participant commercial.
TKT-00003,CUST-178,Feature Request,High,2024-01-09T15:09:35Z,2024-01-11T17:09:35Z,50.0,,Michele Williams,email,Clear here writer policy news.
TKT-00004,CUST-184,Onboarding,Low,2024-01-15T01:03:04Z,2024-01-17T06:03:04Z,53.0,4.0,Michele Williams,chat,Customer escalation: Successful simply director allow firm environment.. Reach out at robinbradley@example.net.
TKT-00005,CUST-081,Security,Medium,2024-01-21T11:25:00Z,2024-01-23T04:25:00Z,41.0,4.0,Noah Rhodes,phone,Young catch management sense technology.
TKT-00006,CUST-070,Security,Low,2024-01-10T20:12:02Z,2024-01-12T00:12:02Z,28.0,4.0,Angie Henderson,phone,Physical society instead as.
TKT-00007,CUST-019,Technical,Low,2024-01-15T16:55:26Z,2024-01-17T08:55:26Z,40.0,3.0,Abigail Shaffer,chat,Other life edge network wall quite.
TKT-00008,CUST-280,Security,Low,2024-01-21T01:54:02Z,2024-01-23T08:54:02Z,55.0,1.0,Cristian Santos,chat,Support request: Race Mr environment political.
TKT-00009,CUST-459,Account,Medium,2024-01-30T20:28:54Z,2024-02-02T07:28:54Z,59.0,1.0,Noah Rhodes,phone,Fall citizen about reveal.
TKT-00010,CUST-012,Billing,Medium,2024-01-17T09:49:13Z,2024-01-18T14:49:13Z,29.0,2.0,Noah Rhodes,chat,Support request: Will seven medical blood personal.
TKT-00011,CUST-120,Account,Medium,2024-01-29T03:39:19Z,2024-01-30T15:39:19Z,36.0,3.0,Ryan Munoz,email,Support request: Participant check several much single morning a.
TKT-00012,CUST-485,Account,Medium,2024-01-11T08:47:25Z,2024-01-14T01:47:25Z,65.0,4.0,Jamie Arnold,chat,Major born guy world southern dream.
TKT-00013,CUST-361,Account,Medium,2024-01-03T02:18:48Z,2024-01-03T12:18:48Z,10.0,3.0,Gabrielle Davis,portal,There water beat magazine attorney.
TKT-00014,CUST-293,Billing,Low,2024-01-06T11:49:34Z,2024-01-08T15:49:34Z,52.0,1.0,Ryan Munoz,chat,Support request: She campaign little near enter their institution.
TKT-00015,CUST-339,Billing,Medium,2024-01-06T07:55:00Z,,,,Jamie Arnold,portal,Up sense ready require human.
TKT-00016,CUST-480,Feature Request,High,2024-01-06T10:43:44Z,2024-01-07T11:43:44Z,25.0,1.0,Gina Moore,email,Just military building different full open.
TKT-00017,CUST-404,Account,Low,2024-01-21T11:46:37Z,2024-01-21T23:46:37Z,12.0,3.0,Gabrielle Davis,chat,Support request: Open according remain arrive attack.
TKT-00018,CUST-449,Account,Low,2024-01-16T00:14:16Z,,,,Gabrielle Davis,phone,Teacher audience draw.
TKT-00019,CUST-308,Onboarding,Low,2024-01-08T15:49:34Z,2024-01-11T10:49:34Z,67.0,4.0,Daniel Wagner,chat,Democrat car very number line six space.
TKT-00020,CUST-477,Performance,Medium,2024-01-02T07:26:20Z,2024-01-04T18:26:20Z,59.0,2.0,Cristian Santos,email,Behind probably great in tell.
TKT-00021,CUST-150,Feature Request,Critical,2024-01-06T03:57:02Z,,,,Angie Henderson,phone,Pull worker better.
TKT-00022,CUST-387,Account,Medium,2024-01-27T05:21:43Z,2024-01-29T21:21:43Z,64.0,1.0,Ryan Munoz,email,Rock song body court movie cell.
TKT-00023,CUST-034,Security,Low,2024-01-12T06:17:56Z,2024-01-15T02:17:56Z,68.0,2.0,Jamie Arnold,chat,Everything economic type kitchen.
TKT-00024,CUST-486,Feature Request,Low,2024-01-06T01:04:29Z,2024-01-06T15:04:29Z,14.0,2.0,Gina Moore,email,User reported issue with Better present music address behavior send door.. Please contact ntucker@example.com or 9264064746 for follow-up.
TKT-00025,CUST-291,Feature Request,High,2024-01-21T23:15:48Z,2024-01-22T08:15:48Z,9.0,4.0,Angie Henderson,phone,Father why often my security.
TKT-00026,CUST-284,Onboarding,Medium,2024-01-25T03:08:43Z,,,,Dylan Miller,chat,Anyone live try most.
TKT-00027,CUST-250,Billing,Medium,2024-01-10T07:31:46Z,2024-01-13T03:31:46Z,68.0,,Angie Henderson,email,Support request: Whether bag control organization.
TKT-00028,CUST-370,Security,Medium,2024-01-20T00:09:22Z,2024-01-22T21:09:22Z,69.0,,Ryan Munoz,email,Support request: Identify walk now often always.
TKT-00029,CUST-304,Onboarding,Medium,2024-01-24T06:00:44Z,2024-01-26T15:00:44Z,57.0,4.0,Michele Williams,chat,Information on mission various.
TKT-00030,CUST-266,Technical,Low,2024-01-28T10:13:16Z,2024-01-31T07:13:16Z,69.0,5.0,Dylan Miller,phone,Issue description: Prove fire enter capital population.. Call 6794911838 if urgent.
TKT-00031,CUST-097,Security,Low,2024-01-15T14:15:59Z,,,,Michele Williams,portal,User reported issue with Thing these hard citizen street region.. Please contact contrerasangela@example.net or 524-711-8244 for follow-up.
TKT-00032,CUST-271,Billing,Low,2024-01-18T03:41:12Z,,,,Angie Henderson,email,Reach table measure economy traditional.
TKT-00033,CUST-253,Performance,High,2024-01-06T12:23:02Z,2024-01-08T13:23:02Z,49.0,5.0,Michele Williams,email,User reported issue with Begin interest everybody.. Please contact cookdavid@example.com or (278)768-0112 for follow-up.
TKT-00034,CUST-187,Onboarding,Low,2024-01-08T15:25:17Z,2024-01-10T08:25:17Z,41.0,1.0,Gina Moore,phone,Support request: Need involve among half value win always group.
TKT-00035,CUST-452,Account,High,2024-01-21T02:22:43Z,2024-01-23T11:22:43Z,57.0,,Lisa Hensley,chat,Project government nice themselves wind.
TKT-00036,CUST-258,Security,Medium,2024-01-23T03:13:45Z,2024-01-24T02:13:45Z,23.0,,Abigail Shaffer,chat,Understand door class son.
TKT-00037,CUST-170,Account,Medium,2024-01-02T03:21:15Z,2024-01-02T15:21:15Z,12.0,3.0,Jamie Arnold,chat,Thing agent say forward.
TKT-00038,CUST-428,Feature Request,Low,2024-01-10T05:39:02Z,2024-01-11T03:39:02Z,22.0,,Abigail Shaffer,phone,Soon ten specific environment skin blue.
TKT-00039,CUST-145,Technical,Low,2024-01-17T04:51:23Z,2024-01-19T14:51:23Z,58.0,1.0,Jamie Arnold,phone,Teach develop staff.
TKT-00040,CUST-291,Billing,High,2024-01-28T03:10:13Z,2024-01-30T01:10:13Z,46.0,1.0,Monica Herrera,portal,Glass star the development process huge everything.
TKT-00041,CUST-474,Billing,Medium,2024-01-05T09:45:40Z,2024-01-07T04:45:40Z,43.0,5.0,Daniel Wagner,email,Whom evidence political hundred.
TKT-00042,CUST-340,Integration,High,2024-01-06T04:06:39Z,2024-01-06T05:06:39Z,1.0,3.0,Michele Williams,chat,Former agree theory end oil worker although.
TKT-00043,CUST-466,Security,Low,2024-01-24T03:20:21Z,,,,Noah Rhodes,phone,Its rock finish paper memory history office effort.
TKT-00044,CUST-167,Security,Low,2024-01-28T18:35:01Z,2024-01-30T22:35:01Z,52.0,,Jamie Arnold,chat,Ability understand Mrs rest score provide.
TKT-00045,CUST-044,Onboarding,Medium,2024-01-10T03:46:57Z,,,,Jamie Arnold,phone,Issue we TV perhaps professional by.
TKT-00046,CUST-189,Performance,Medium,2024-01-12T22:46:39Z,2024-01-15T17:46:39Z,67.0,1.0,Dylan Miller,portal,Support request: Medical project for recent never.
TKT-00047,CUST-240,Integration,Medium,2024-01-27T15:17:23Z,,,,Gabrielle Davis,chat,Inside wait quality total past.
TKT-00048,CUST-151,Integration,High,2024-01-01T10:21:04Z,2024-01-02T07:21:04Z,21.0,1.0,Michele Williams,email,Image street fight decision size.
TKT-00049,CUST-333,Onboarding,Medium,2024-01-02T21:06:02Z,2024-01-05T05:06:02Z,56.0,5.0,Angie Henderson,email,Pressure let kind degree list top somebody college.
TKT-00050,CUST-389,Security,High,2024-01-20T20:43:21Z,2024-01-20T23:43:21Z,3.0,5.0,Angie Henderson,phone,User reported issue with Exist professional people behavior.. Please contact emilywalker@example.org or (500)837-9176 for follow-up.
TKT-00051,CUST-425,Technical,High,2024-01-02T19:40:46Z,2024-01-04T15:40:46Z,44.0,2.0,Allison Hill,portal,Hundred challenge reach throughout team those sing.
TKT-00052,CUST-057,Billing,Medium,2024-01-26T16:45:17Z,2024-01-28T00:45:17Z,32.0,1.0,Gabrielle Davis,chat,Compare when military anyone eat.
TKT-00053,CUST-136,Billing,Critical,2024-01-23T10:46:14Z,2024-01-23T22:46:14Z,12.0,1.0,Monica Herrera,chat,Support request: Lead soon property write.
TKT-00054,CUST-186,Billing,Low,2024-01-01T01:00:59Z,2024-01-02T10:00:59Z,33.0,4.0,Connie Lawrence,chat,Fish sense kind spring throughout interview trade knowledge.
TKT-00055,CUST-474,Integration,Medium,2024-01-30T06:06:27Z,2024-02-01T04:06:27Z,46.0,2.0,Cristian Santos,phone,Season listen else easy.
TKT-00056,CUST-231,Integration,Medium,2024-01-14T22:34:27Z,,,,Michele Williams,email,Customer escalation: She miss phone ever back.. Reach out at jimmy55@example.net.
TKT-00057,CUST-486,Feature Request,Medium,2024-01-03T07:18:46Z,2024-01-05T15:18:46Z,56.0,4.0,Lisa Hensley,chat,Letter artist strategy hope show watch affect.
TKT-00058,CUST-113,Billing,Medium,2024-01-07T22:05:27Z,2024-01-08T01:05:27Z,3.0,1.0,Gabrielle Davis,phone,Herself accept goal send table well industry.
TKT-00059,CUST-099,Feature Request,Medium,2024-01-18T15:39:30Z,2024-01-19T09:39:30Z,18.0,4.0,Gina Moore,chat,Son today major event magazine home protect.
TKT-00060,CUST-261,Account,Low,2024-01-11T13:23:58Z,2024-01-14T04:23:58Z,63.0,4.0,Jamie Arnold,phone,Right subject try wonder move trade.
TKT-00061,CUST-435,Security,Low,2024-01-02T02:46:50Z,,,,Noah Rhodes,email,Customer escalation: North agree poor career left anyone here deep.. Reach out at matthew64@example.com.
TKT-00062,CUST-219,Security,High,2024-01-02T17:49:28Z,,,,Abigail Shaffer,email,Charge call prove nor design record short cold.
TKT-00063,CUST-039,Onboarding,High,2024-01-12T16:02:34Z,2024-01-13T01:02:34Z,9.0,,Abigail Shaffer,phone,White responsibility sing clearly find official up office.
